new_sku,item_name,category,unit,cost,retail,qty,store_type,selected_old_sku,merged_old_skus,source_count,review_flag,conflicts
FGH-DRY-GOODS-049,CORNFLAKES,DRY GOODS,pkt,350.0,350.0,1000.0,foodstuffs,FG-119,FG-119,1,OK,
FGH-DRY-GOODS-050,COTTON,DRY GOODS,pkt,200.0,200.0,1000.0,foodstuffs,FG-132,FG-132,1,OK,
FGH-DRY-GOODS-051,COURGETS,DRY GOODS,kg,40.0,40.0,1000.0,foodstuffs,FG-185,FG-185,1,OK,
FGH-DRY-GOODS-052,CUCUMBER,DRY GOODS,pcs,40.0,40.0,1000.0,foodstuffs,FG-168,FG-168,1,OK,
FGH-DRY-GOODS-053,CURRY POWDER,DRY GOODS,pcs,250.0,250.0,1000.0,foodstuffs,FG-57,FG-57,1,OK,
FGH-DRY-GOODS-054,DANA JEERA,DRY GOODS,pcs,215.0,215.0,1000.0,foodstuffs,FG-162,FG-162,1,OK,
FGH-DRY-GOODS-055,DARK SOY SAUCE,DRY GOODS,pcs,350.0,325.0,976.0,foodstuffs,FG-63,FG-63,1,OK,
FGH-DRY-GOODS-056,DETTOL,DRY GOODS,L,225.0,225.0,1000.0,foodstuffs,FG-187,FG-187,1,OK,
FGH-DRY-GOODS-057,DHANIA,DRY GOODS,kg,100.0,100.0,1000.0,foodstuffs,FG-155,FG-155 | FG-393,2,MEDIUM,NAME ALIAS
FGH-DRY-GOODS-058,DOOM,DRY GOODS,pcs,500.0,1300.0,1000.0,foodstuffs,FG-93,FG-93,1,OK,
FGH-DRY-GOODS-059,DORMANTS,DRY GOODS,pcs,1300.0,345.0,1000.0,foodstuffs,FG-407,FG-407,1,OK,
FGH-DRY-GOODS-060,DOWNY,DRY GOODS,L,500.0,300.0,970.0,foodstuffs,FG-368,FG-368,1,OK,
FGH-DRY-GOODS-061,DRINKING CHOCOLATE,DRY GOODS,pcs,100.0,30.0,990.0,foodstuffs,FG-12,FG-12,1,OK,
FGH-DRY-GOODS-062,EASY WARM,DRY GOODS,pcs,800.0,800.0,1000.0,foodstuffs,FG-138,FG-138,1,OK,
FGH-DRY-GOODS-063,EGG YELLOW,DRY GOODS,pcs,60.0,21.0,891.0,foodstuffs,FG-51,FG-51,1,OK,
FGH-DRY-GOODS-064,ENVELOPE A4,DRY GOODS,pcs,10.0,10.0,1000.0,foodstuffs,FG-358,FG-358,1,OK,
